Food_Name,Ingredient,Amount
葵菜羹,羊肉,一脚子
三下锅,良姜,二钱
三下锅,草果,五个
三下锅,羊肉,一脚子
黄汤,回回豆子,半升
黄汤,草果,五个
黄汤,羊肉,一脚子
珍珠粉,回回豆子,半升
珍珠粉,草果,五个
珍珠粉,羊肉,一脚子
荤素羹,回回豆子,半升
荤素羹,草果,五个
荤素羹,羊肉,一脚子
杂羹,回回豆子,半升
杂羹,草果,五个
杂羹,羊肉,一脚子
鸡头粉馄饨,回回豆子,半升
鸡头粉馄饨,草果,五个
鸡头粉馄饨,羊肉,一脚子
鸡头粉粉,良姜,二钱
鸡头粉粉,草果,五个
鸡头粉粉,羊肉,一脚子
鸡头粉撅面,回回豆子,半升
鸡头粉撅面,草果,五个
鸡头粉撅面,羊肉,一脚子
鸡头粉血粉,回回豆子,半升
鸡头粉血粉,草果,五个
鸡头粉血粉,羊肉,一脚子
鸡头粉雀舌子,回回豆子,半升
鸡头粉雀舌子,草果,五个
鸡头粉雀舌子,羊肉,一脚子
阿菜汤,良姜,二钱
阿菜汤,草果,五个
阿菜汤,羊肉,一脚子
河羹,草果,五个
河羹,羊肉,一脚子
糯米粉粉,良姜,二钱
糯米粉粉,草果,五个
糯米粉粉,羊肉,一脚子
大麦片粉,良姜,二钱
大麦片粉,草果,五个
大麦片粉,羊肉,一脚子
大麦算子粉,回回豆子,半升
大麦算子粉,草果,五个
大麦算子粉,羊肉,一脚子
粆汤,回回豆子,半升
粆汤,草果,五个
粆汤,羊肉,一脚子
松黄汤,回回豆子,半升
松黄汤,草果,五个
松黄汤,羊肉,一脚子
鹿头汤,鹿头蹄,一副
木瓜汤,回回豆子,半升
木瓜汤,草果,五个
木瓜汤,羊肉,一脚子
苦豆汤,苦豆,一两
苦豆汤,草果,五个
苦豆汤,羊肉,一脚子
沙乞某儿汤,沙乞某儿,五个
沙乞某儿汤,回回豆子,半升
沙乞某儿汤,草果,五个
沙乞某儿汤,羊肉,一脚子
八儿不汤,萝卜,二个
八儿不汤,回回豆子,半升
八儿不汤,草果,五个
八儿不汤,羊肉,一脚子
大麦汤,大麦仁,二升
大麦汤,草果,五个
大麦汤,羊肉,一脚子
马思吉汤,回回豆子,半升
马思吉汤,官桂,二钱
马思吉汤,草果,五个
马思吉汤,羊肉,一脚子
